track_id,artist,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,False,0.612603305785124,0.7489929216003892,5,0.8327826980204891,1,0.04937629937629938,0.011356783919597989,0.106,0.30282776349614393,0.6602238046795524,0.7667198081329684,4,alt-rock
3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.5619834710743803,0.24097859559639584,4,0.5798883922374303,0,0.031185031185031187,0.9879396984924622,0.774,0.08380462724935733,0.3652085452695829,0.5086567913399551,4,alt-rock
2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,71,222093,False,0.5557851239669422,0.6789909475447209,4,0.8709014686693134,1,0.03461538461538462,0.19195979899497487,0.00175,0.07136246786632391,0.0903357070193286,0.5670024029858377,4,alt-rock
7kzKAuUzOITUauHAhoMoxA,The Strokes,Is This It,Last Nite,74,193506,False,0.6446280991735538,0.9099974619284266,0,0.8318665148949165,1,0.030873180873180875,0.028643216080402007,0.000198,0.061079691516709514,0.780264496439471,0.48358114608945435,4,alt-rock
57Xjny5yNzAcsxnusKmAfA,The Strokes,Room On Fire,Reptilia,75,219826,False,0.5051652892561984,0.648990101520863,9,0.8483300480302062,1,0.03492723492723493,0.0006060301507537688,0.713,0.08380462724935733,0.7833163784333673,0.7344166136026661,4,alt-rock
1BLOVHYYlH4JUHQGcpt75R,The Strokes,The New Abnormal,Ode To The Mets,67,351786,False,0.4400826446280992,0.6169891990954145,1,0.8396401898997751,0,0.030041580041580043,0.342713567839196,0.181,0.08380462724935733,0.20447609359104785,0.4276199285146573,4,alt-rock
1aOxOpH4AkGAd8OMrKjyNY,The Strokes,The New Abnormal,Why Are Sundays So Depressing,68,275666,False,0.5981404958677686,0.7139919345725549,0,0.8665148949165717,1,0.03607068607068607,0.0025929648241206026,0.0269,0.09408740359897172,0.3041709053916582,0.5111387921858805,4,garage
56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Is This It,Someday,70,183573,False,0.5599173553719009,0.530986773827022,9,0.7825036786140648,1,0.03128898128898129,0.003316582914572864,1.51e-06,0.3275064267352185,0.6826042726347915,0.4925423776080763,4,garage
4fPBB44eDH71YohayI4eKV,The Strokes,First Impressions Of Earth,You Only Live Once,72,189226,False,0.6508264462809918,0.9079974055268359,11,0.923012854326883,1,0.03388773388773389,0.023919597989949748,0.592,0.09922879177377893,0.9847405900305188,0.5601792246303725,4,garage
6IRzBP4gVoV4D2zHmocoWy,The Strokes,The New Abnormal,Eternal Summer,62,375320,False,0.6373966942148761,0.7799937958250424,7,0.8662095005413809,0,0.03908523908523909,0.014170854271356783,0.0112,0.06560411311053985,0.33163784333672436,0.436678766808119,4,garage
