track_id,artist,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,acoustic_electric,mood_index,vocal_prominence,rhythmic_intensity,sonic_density
5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,False,0.612603305785124,0.7489929216003892,5,0.8327826980204891,1,0.0493762993762993,0.0113567839195979,0.106,0.3028277634961439,0.6602238046795524,0.7667198081329684,4,alt-rock,-0.7376361376807913,0.4945029563770627,0.9433762993762993,0.4696950890731924,1.5817756196208783
3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.5619834710743803,0.2409785955963958,4,0.5798883922374303,0,0.0311850311850311,0.9879396984924622,0.774,0.0838046272493573,0.3652085452695829,0.5086567913399551,4,alt-rock,0.7469611028960664,0.08800744233886683,0.25718503118503105,0.2858567091827848,0.8208669878338261
2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,71,222093,False,0.5557851239669422,0.6789909475447209,4,0.8709014686693134,1,0.0346153846153846,0.1919597989949748,0.00175,0.0713624678663239,0.0903357070193286,0.5670024029858377,4,alt-rock,-0.48703114854974605,0.061337127306176215,1.0328653846153846,0.3151315008330379,1.5498924162140342
7kzKAuUzOITUauHAhoMoxA,The Strokes,Is This It,Last Nite,74,193506,False,0.6446280991735538,0.9099974619284266,0,0.8318665148949165,1,0.0308731808731808,0.028643216080402,0.000198,0.0610796915167095,0.780264496439471,0.4835811460894543,4,alt-rock,-0.8813542458480246,0.7100387113927805,1.0306751808731807,0.3117299949998135,1.741863976823343
57Xjny5yNzAcsxnusKmAfA,The Strokes,Room On Fire,Reptilia,75,219826,False,0.5051652892561984,0.648990101520863,9,0.8483300480302062,1,0.0349272349272349,0.0006060301507537,0.713,0.0838046272493573,0.7833163784333673,0.7344166136026661,4,alt-rock,-0.6483840713701093,0.5083645759624258,0.32192723492723496,0.3710017810451485,1.497320149551069
1BLOVHYYlH4JUHQGcpt75R,The Strokes,The New Abnormal,Ode To The Mets,67,351786,False,0.4400826446280992,0.6169891990954145,1,0.8396401898997751,0,0.03004158004158,0.342713567839196,0.181,0.0838046272493573,0.2044760935910478,0.4276199285146573,4,alt-rock,-0.2742756312562185,0.1261595412188996,0.8490415800415799,0.18818810903640912,1.4566293889951896
1aOxOpH4AkGAd8OMrKjyNY,The Strokes,The New Abnormal,Why Are Sundays So Depressing,68,275666,False,0.5981404958677686,0.7139919345725549,0,0.8665148949165717,1,0.036070686070686,0.0025929648241206,0.0269,0.0940874035989717,0.3041709053916582,0.5111387921858805,4,garage,-0.7113989697484343,0.21717557318127562,1.009170686070686,0.30573281061531493,1.5805068294891267
56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Is This It,Someday,70,183573,False,0.5599173553719009,0.530986773827022,9,0.7825036786140648,1,0.0312889812889812,0.0033165829145728,1.51e-06,0.3275064267352185,0.6826042726347915,0.4925423776080763,4,garage,-0.5276701909124492,0.3624538405268889,1.0312874712889812,0.27578302547890227,1.3134904524410866
4fPBB44eDH71YohayI4eKV,The Strokes,First Impressions Of Earth,You Only Live Once,72,189226,False,0.6508264462809918,0.907997405526836,11,0.923012854326883,1,0.0338877338877338,0.0239195979899497,0.592,0.0992287917737789,0.9847405900305188,0.5601792246303725,4,garage,-0.8840778075368864,0.8941419008646768,0.44188773388773384,0.3645794540466268,1.831010259853719
6IRzBP4gVoV4D2zHmocoWy,The Strokes,The New Abnormal,Eternal Summer,62,375320,False,0.6373966942148761,0.7799937958250424,7,0.8662095005413809,0,0.039085239085239,0.0141708542713567,0.0112,0.0656041131105398,0.3316378433367243,0.436678766808119,4,garage,-0.7658229415536857,0.25867546026344235,1.027885239085239,0.2783376023973238,1.6462032963664233
2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,61,151333,False,0.6859504132231407,0.6789909475447209,5,0.759960021099975,1,0.0311850311850311,0.1497487437185929,4.84e-05,0.3367609254498714,0.8179043743641914,0.4462116951508025,4,garage,-0.529242203826128,0.5553496661505144,1.0311366311850312,0.30607909667369104,1.4389509686446957
55N8cxpE1QDoeaaNqUnoZ2,The Strokes,The New Abnormal,Bad Decisions,64,293360,False,0.3863636363636364,0.9219978003379696,0,0.895804991809878,1,0.0582120582120582,0.0135678391959798,0.204,0.267866323907455,0.399796541200407,0.7121436771725642,4,garage,-0.9084299611419898,0.36861153156950366,0.8542120582120583,0.27514642072576345,1.8178027921478477
